University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,student_id,attendance_clean,health_issues_clean,relationship_clean,interested_area_clean,skills_clean,performance_risk_label,performance_risk_binary,predicted_risk_binary,predicted_risk_label,predicted_risk_probability,predicted_confidence
2018,Male,24,2016,BCSE,12,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Software Development,2,Data Schince,Single,Yes,Bachelor,No,2.68,No,3.15,75,25000,STU1000,90.0,No,Single,Data Science,Software Development,At Risk,1,1,At Risk,0.5339551408911245,0.5339551408911245
2021,Male,22,2020,BCSE,4,Yes,Yes,3,2,Online,Yes,Yes,3,Basic,96,Yes,No,No,Web development,2,Event management,Single,Yes,Family,No,2.68,No,3.15,36,100000,STU1001,96.0,No,Single,Management,Web Development,At Risk,1,1,At Risk,0.880064652830533,0.880064652830533
2020,Female,21,2019,BCSE,5,No,No,3,3,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,2.68,No,3.15,50,50000,STU1002,80.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7533741424004525,0.7533741424004525
2021,Male,20,2020,BCSE,4,Yes,No,1,3,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Bachelor,Yes,2.68,No,3.15,36,62488,STU1003,88.0,Yes,Single,Artificial Intelligence,Programming,At Risk,1,1,At Risk,0.8377858775355298,0.8377858775355298
2021,Male,22,2019,BCSE,4,Yes,No,3,1,Online,Yes,Yes,2,Intermediate,80,No,No,Yes,Programming,1,Software,Relationship,No,Bachelor,Yes,2.68,No,3.15,36,50000,STU1004,80.0,Yes,Relationship,Software,Programming,At Risk,1,1,At Risk,0.8032385596344496,0.8032385596344496
2021,Male,20,2020,BCSE,4,Yes,Yes,2,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,36,30000,STU1005,95.0,No,Single,Software,Web Development,At Risk,1,1,At Risk,0.8197626560612815,0.8197626560612815
2021,Male,22,2018,BCSE,4,Yes,No,2,4,Online,Yes,Yes,2,Intermediate,80,No,No,No,Web development,6,Software,Single,No,Bachelor,Yes,2.68,No,3.15,36,20000,STU1006,80.0,Yes,Single,Software,Web Development,At Risk,1,1,At Risk,0.8477734865486992,0.8477734865486992
2021,Female,22,2019,BCSE,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development,1,NETWORKING,Single,No,Bachelor,No,3.8,No,3.64,35,32500,STU1007,100.0,No,Single,Networking,Web Development,Good,0,0,Good,0.13784425997119495,0.862155740028805
2021,Male,20,2020,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,3,Software,Single,No,Bachelor,No,2.68,No,3.15,36,20000,STU1008,90.0,No,Single,Software,Programming,At Risk,1,1,At Risk,0.7160874416258928,0.7160874416258928
2021,Female,22,2020,BCSE,4,Yes,Yes,5,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Family,No,2.68,No,3.15,36,25000,STU1009,100.0,No,Single,Artificial Intelligence,Programming,At Risk,1,1,At Risk,0.6569859687371585,0.6569859687371585
